iter	Passed	Remaining
0	1	128
1	1	86
2	2	85
3	3	83
4	4	81
5	5	80
6	5	78
7	6	76
8	7	75
9	7	71
10	8	70
11	9	70
12	10	69
13	11	68
14	11	66
15	12	66
16	13	66
17	14	65
18	15	64
19	15	61
20	16	61
21	16	58
22	17	58
23	18	58
24	19	58
25	20	57
26	21	57
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	48
38	30	47
39	31	46
40	31	45
41	32	45
42	33	44
43	34	43
44	35	43
45	35	41
46	36	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	42	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
